MOF,O2,N2,CO2,CH4,H2,He
VEMMAC_clean,5057493.744508619,4022154.8656442245,2659433.484276066,2412278.9405887355,,22846820.410233226
VEMMEG_clean,5434506.645856605,4320425.659185432,2667202.784479068,2371762.658233721,,21177358.95998361
VEMMOQ_clean,7525134.070558572,7014904.825672843,2397892.0663859365,4144460.5648277584,,38249593.77444502
VEMSUC01_clean,1849963.9113176947,1058647.8378371382,983714.3398979167,,,
VEMSUC_clean,1666020.3004531432,965420.8521864311,870562.0628970003,,,
VEPDEB_charged,789617.5203276997,342533.46666278376,418544.88244277425,66353.76907399716,,3904852.375489686
VEQBID_clean,846099.7175937856,1178175.5086926678,648974.3109502123,386798.1273896526,,7145639.777487978
VERPOZ_clean,685008.3228162257,390437.0925637808,377554.8986575052,184801.19560746956,4602483.954986955,6010669.600933204
VERZEZ_clean,241873.69489334867,111217.79108047501,353687.4464337031,31483.792769641095,,1463714.2601191767
VERZID_clean,356386.5041835813,108488.70641360387,394605.10672239936,21281.439751267742,,854670.742528069
VERZOJ_clean,232.62434598280376,234104.11578642303,182215.97062375653,33463.13563155673,,102035.81098424816
VERZUP_clean,449019.7529787309,190801.01298101162,312049.9909822482,20618.34797407204,,1435515.6857814349
VESBAY_clean,660881.7353468395,237750.8802257344,635326.803341174,23192.13005171523,,2035909.429288699
VETMIS_clean,10690592.472909039,8440068.838588694,657314.0229495993,,,56410769.14989978
VETSOE_charged,2356174.6266988157,1870882.1688733809,1160796.531379688,1009597.2292349964,,41553708.56445058
VETTAR_charged,2697203.7584097143,2474057.815744169,1838173.4022161206,1139317.875003034,,31557113.774646197
VETTIZ_charged,2717699.9920106544,2459594.198073339,1891846.2094424504,1106861.716822926,,41898540.53492847
VEWLAM_clean,4642931.587917079,3949672.2903612484,2499400.279845259,,,34527441.221860245
VEXTUO_manual,2739523.7526511047,2455643.793841302,1634998.4638905632,1156568.3387698187,,20868351.09074703
VEXVAW_clean,5062083.227906491,3872656.406770095,3103406.106619121,2150207.804061977,,33319934.854962923
VEXYON_charged,2054767.3914694034,1695638.7586178684,1414666.9579989212,533381.6168440176,,10738800.231607946
VEYREX_clean,1034740.2191069954,577270.83795806,568379.3642674498,154893.70345734255,,4739267.337037336
VEYREY_clean,1999425.5642616954,1924869.415773758,1246744.908854983,796033.9241102649,,12682541.581603216
VEYVEC_clean,2484808.072846345,1745409.5924824132,1145896.0444709102,285140.5284735094,,15926151.838099109
VEZMIY_clean,,,,,40325461.49561093,
VEZMOE_clean,,,,,38289923.03585534,
VEZQAT_clean,2112389.8888711887,1317592.524792559,1424346.6275179298,491329.9470274427,,22270617.953890096
VICDOC_clean,1204410.236151973,838834.9412433772,737075.7083727099,198475.2663099289,,5735113.826237962
VICLAW_clean,343221.82350662403,299939.7083199883,274549.9076411509,,,3831322.8108903877
VICSIL_clean,830307.0311043907,454877.913391686,464036.77890707075,169963.38911684803,,3651277.215216064
VICYOX_clean,1500964.7070141155,1147004.5315829935,1027288.3630066962,205623.7767415946,,4759748.687588969
